中心支公司简称,中心支公司
昆明,011401云南分公司营业一部（虚拟）
曲靖,011411曲靖中心支公司
保山,011412保山中心支公司
巧家,011413云南分公司昭通市中心支公司（虚拟）
文山,011415文山中心支公司
版纳,011416西双版纳中心支公司
大理,011417大理中心支公司
怒江,011418怒江中心支公司
