中心支公司简称,团队简称,团队
昆明,分公司本部,01140101010001直拓业务出单团队
昆明,分公司本部,01140101010002分公司销售一部
昆明,百大国际,01140101020001百大国际花园营销服务部销售一部
昆明,春之城,01140101030001春之城营销服务部销售一部
昆明,香榭丽园,01140101040001香榭丽园营销服务部销售一部
昆明,东川,01140101050001东川营销服务部销售一部
昆明,宜良,01140101060001宜良营销服务部销售一部
昆明,安宁,01140101070001安宁市营销服务部销售一部
昆明,春怡雅苑,01140101080001春怡雅苑营销服务部销售一部
曲靖,曲靖中支李雄团队,01141101010001李雄团队
曲靖,沾益,01141101010002张笑晓团队
曲靖,曲靖中支销售部,01141101010003曲靖中支销售部（虚拟）
曲靖,曲靖中支销售一部,01141101010004曲靖中支销售一部
曲靖,罗平,01141101020001罗平支公司销售一部
曲靖,陆良,01141122020001陆良营销服务部销售一部
曲靖,师宗,01141123010001师宗支公司销售一部
曲靖,宣威,01141124010001宣威支公司销售一部
曲靖,会泽,01141126010001会泽支公司销售团队
曲靖,会泽,01141126010002会泽团队1
曲靖,沾益,01141127010001沾益支公司团队
曲靖,沾益,01141127010002沾益支公司
曲靖,沾益,01141127010003沾益支公司1
保山,保山市隆阳区团队,01141201010001保山市隆阳区团队
保山,保山中支业务二部,01141201010002保山业务二部
保山,保山中支销售一部,01141201010003保山中支销售一部
保山,保山中支销售二部,01141201010004保山中支销售二部
保山,施甸,01141221010001施甸支公司销售一部
保山,腾冲,01141222010001腾冲支公司销售一部
巧家,巧家,01141322010001巧家支公司销售一部
文山,文山中支销售部,01141501010001文山中支销售部（虚拟）
文山,文山中支营业二部,01141501020001文山中心支营业二部
文山,文山中支营业三部,01141501020002文山营业三部
文山,砚山,01141522010001砚山支公司销售一部
文山,麻栗坡,01141524010001麻栗坡支公司
文山,马关,01141525010001马关支公司
文山,丘北,01141526020001丘北营销服务部销售一部
文山,广南,01141527020001广南营销服务部销售一部
文山,富宁,01141528020001富宁营销服务部销售一部
版纳,版纳中支营业一部,01141601010001景洪营业一部
版纳,勐海,01141622020001勐海营销服务部销售一部
版纳,勐腊,01141622030001勐腊营销服务部销售一部
大理,大理中支营业二部,01141701010001营业二部销售团队
大理,大理中支销售一部,01141701010002大理中支销售一部
大理,漾濞,01141722010001漾濞支公司销售一部
大理,祥云,01141723010001祥云支公司团队
大理,祥云,01141723010002祥云支公司
大理,宾川,01141724010001宾川支公司销售一部
大理,弥渡,01141725010001弥渡团队
大理,云龙,01141729010001云龙支公司销售一部
大理,洱源,01141730010001洱源支公司团队
怒江,怒江中支销售一部,01141801010002怒江中支销售一部
怒江,兰坪,01141825010001兰坪支公司团队
昆明,东川,140101000001东川营销服务部
曲靖,曲靖中支业务部,140200000001中支业务部
曲靖,曲靖中支业务二部,140200010001虚拟业务二部
曲靖,陆良,140200020001陆良营销服务部
曲靖,师宗,140200040001师宗支公司
曲靖,宣威,140200050001宣威支公司
曲靖,罗平,140200060001罗平支公司
昆明,宜良,140300000001宜良营销服务部
版纳,勐腊,140501000001勐腊营销服务部
版纳,勐海,140502000001勐海营销服务部
昆明,安宁,140600000001安宁营销服务部
文山,文山中支营业一部,140700020001业务一部
文山,广南,140701010001广南营销服务部
文山,丘北,140701020001丘北营销服务部
文山,富宁,140701030001富宁营销服务部
文山,砚山,140701040001砚山支公司
巧家,巧家,140800020001巧家
怒江,怒江中支业务一部,140900000001虚拟业务一部
大理,大理中支业务一部,141200000001大理中支一部
大理,云龙,141200010001云龙支公司
大理,宾川,141200020001宾川支公司团队
大理,漾濞,141200030001漾濞支公司
保山,保山中支业务一部,141300000001虚拟业务一部
保山,施甸,141300010001施甸支公司
保山,腾冲,141300020001腾冲支公司
昆明,分公司本部,148600000001虚拟团队
昆明,分公司本部,148600040001虚拟业务一部
昆明,香榭丽园,149900010001香榭丽园营销服务部
昆明,春怡雅苑,149900020001春怡雅苑营销服务部
昆明,春之城,149900030001春之城营销服务部
昆明,百大国际,149900040001百大国际营销服务部
